Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
716,0.716,0.01146,0.00492,0.00753,0.01235,0.02072,0.0327
736,0.736,0.00966,0.00481,0.00733,0.01196,0.02007,0.03179
756,0.756,0.00752,0.00471,0.00715,0.01172,0.01957,0.03099
777,0.777,0.00702,0.00456,0.00691,0.01133,0.019,0.03022
799,0.799,0.0068,0.00434,0.00659,0.01089,0.01844,0.02933
821,0.821,0.00676,0.00406,0.00627,0.0105,0.01778,0.0285
844,0.844,0.00642,0.00399,0.00612,0.01021,0.01745,0.02795
868,0.868,0.00645,0.00389,0.00598,0.00996,0.01703,0.02729
893,0.893,0.00626,0.00383,0.00589,0.00981,0.01662,0.02685
919,0.919,0.0063,0.00372,0.00571,0.00952,0.01628,0.02628
946,0.946,0.00798,0.00362,0.00557,0.00928,0.01586,0.0257
974,0.974,0.00865,0.00344,0.00535,0.00898,0.01543,0.02509
1003,1.003,0.00628,0.00342,0.00528,0.00884,0.01511,0.02458
1033,1.033,0.0064,0.00332,0.00514,0.00859,0.01476,0.02409
1064,1.064,0.0062,0.0032,0.00493,0.00835,0.01441,0.02359
1096,1.096,0.00662,0.00303,0.00474,0.00801,0.01394,0.02297
1130,1.13,0.00945,0.00291,0.00454,0.00776,0.01358,0.02243
1165,1.165,0.00807,0.00284,0.00443,0.00757,0.0133,0.02203
1202,1.202,0.00582,0.00274,0.00429,0.00737,0.01302,0.02161
1240,1.24,0.00562,0.00261,0.00414,0.00718,0.01267,0.02118
1280,1.28,0.00588,0.00251,0.00401,0.00698,0.01244,0.02089
1321,1.321,0.00544,0.00247,0.00396,0.00688,0.01221,0.02059
1364,1.364,0.00535,0.00242,0.00387,0.00674,0.01206,0.02029
1409,1.409,0.00531,0.00239,0.00382,0.00664,0.01193,0.02013
1456,1.456,0.00527,0.00233,0.00374,0.00654,0.01176,0.01983
1500,1.5,0.00525,0.00232,0.00367,0.00645,0.01163,0.01954
2000,2,0.00513,0.00195,0.00322,0.00581,0.01077,0.01762
2500,2.5,0.00527,0.00186,0.00316,0.00581,0.01095,0.01762
3000,3,0.00551,0.00183,0.00312,0.00586,0.01132,0.01777
130,1.3,0.01168,0.00877,0.01415,0.02441,0.04213,0.06797
134,1.34,0.01218,0.00905,0.0146,0.0252,0.04347,0.07014
138,1.38,0.01237,0.00934,0.01519,0.02598,0.04482,0.07232
142,1.42,0.01256,0.00972,0.01568,0.02705,0.04668,0.07475
146,1.46,0.01307,0.01025,0.01643,0.02822,0.0487,0.07799
150,1.5,0.01353,0.01078,0.01728,0.02969,0.05075,0.08132
154,1.54,0.01421,0.01151,0.01833,0.03135,0.05359,0.08522
158,1.58,0.01553,0.01212,0.01946,0.03301,0.05643,0.08973
163,1.63,0.0217,0.01348,0.02137,0.03594,0.06086,0.09604
168,1.68,0.02075,0.01518,0.02378,0.03965,0.0662,0.10358
173,1.73,0.03305,0.01694,0.02643,0.04336,0.0717,0.11117
178,1.78,0.02793,0.01973,0.02977,0.04766,0.07729,0.11797
